Year,MNO,Latitude,Longitude,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600
2018,Optus,-34.274134,140.59634,Y,,Y,,,,,Y
2018,Optus,-35.182085,138.783,Y,,Y,,Y,,,Y
2018,Optus,-32.50001862,137.7393606,Y,Y,Y,,,,,Y
2018,Optus,-34.92568696,138.5663743,Y,Y,Y,,Y,,Y,
2018,Optus,-34.820774,138.633469,Y,Y,Y,,Y,,Y,
2018,Optus,-34.94726101,138.5827161,Y,Y,Y,,Y,,Y,
2018,Optus,-34.91766662,138.6221051,Y,Y,Y,,Y,,Y,
2018,Optus,-34.30131067,142.180971,Y,Y,Y,,,,,Y
2018,Optus,-34.04048889,137.9035119,Y,,Y,,,,,Y
2018,Optus,-34.94230947,138.6218107,Y,Y,Y,,Y,,,
2018,Optus,-34.91317,139.364383,Y,Y,Y,,,,,Y
2018,Optus,-34.92270429,138.5946867,Y,Y,Y,,Y,,Y,Y
2018,Optus,-35.25142167,138.8971988,Y,Y,Y,,Y,,,Y
2018,Optus,-34.25500445,140.4556568,Y,,Y,,,,,Y
2018,Optus,-35.481999,138.28605,Y,Y,Y,,Y,,,Y
2018,Optus,-34.88410158,138.8699085,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.827436,138.999826,Y,Y,Y,,Y,,,Y
2018,Optus,-34.727702,138.765765,Y,Y,Y,,Y,,,
2018,Optus,-34.66751619,138.8997234,Y,Y,Y,,Y,,,Y
2018,Optus,-34.624773,139.09727,Y,,Y,,,,,
2018,Optus,-35.13364601,138.6842222,Y,,Y,,Y,,,
2018,Optus,-34.08890609,137.5838866,Y,Y,Y,,,Y,,Y
2018,Optus,-33.9439088,137.6152049,Y,Y,Y,,,Y,,Y
2018,Optus,-33.67893232,138.9535126,Y,,Y,,,,,Y
2018,Optus,-34.861456,138.621837,Y,Y,Y,,Y,,Y,
2018,Optus,-35.676313,139.64978,Y,,Y,,,,,
2018,Optus,-33.391491,138.851488,Y,,Y,,,,,
2018,Optus,-34.9215864,138.6040068,Y,Y,Y,,Y,,Y,Y
2018,Optus,-35.12052784,138.4836731,Y,Y,Y,,Y,,Y,Y
2018,Optus,-37.17757806,139.7510747,Y,,,,,,,
2018,Optus,-35.69561384,139.3328666,Y,,Y,,,,,Y
2018,Optus,-34.30312959,138.8360055,Y,,Y,,,,,
2018,Optus,-34.364635,139.540998,Y,,Y,,,,,
2018,Optus,-35.000513,138.539258,,Y,,,,,,
2018,Optus,-34.37421341,137.6775441,Y,,Y,,,,,Y
2018,Optus,-34.785401,137.586152,Y,,Y,,,,,Y
2018,Optus,-35.01825976,137.6185158,Y,,Y,,,,,Y
2018,Optus,-35.65736182,137.6369213,Y,,Y,,,,,Y
2018,Optus,-35.73328151,137.9166712,Y,,Y,,,,,Y
2018,Optus,-34.57489229,138.8603234,Y,,Y,,Y,,,Y
2018,Optus,-32.34547358,138.0406312,Y,,Y,,,,,Y
2018,Optus,-34.819731,138.660183,Y,Y,Y,,Y,,Y,
2018,Optus,-34.78107891,138.4837317,Y,Y,Y,,Y,,Y,
2018,Optus,-38.05530177,140.6635341,Y,Y,Y,,,,,Y
2018,Optus,-34.79410213,138.6906019,Y,Y,Y,,Y,,Y,
2018,Optus,-34.89163555,138.6014833,Y,Y,,,,,,
2018,Optus,-34.92927328,138.5974276,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.949063,138.602393,Y,Y,Y,,Y,,Y,
2018,Optus,-34.736369,138.6009,Y,Y,Y,,Y,,Y,
