"MNO","2020","2021","2022","2023 "
"Optus"," 5,885 "," 5,986 "," 6,084 "," 6,125  "
"Telstra"," 3,664 "," 3,761 "," 3,853 "," 3,874  "
"TPG"," 5,077 "," 5,137 "," 5,156 "," 5,179  "
